trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
217,False,"{'a': 0.3, 'e': 0.06788442333021306}",20,13,5.283579942571688,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.3, 'e': 0.06772854614785964}",20,1,-45.88497219868555,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
219,False,"{'a': 0.3, 'e': 0.06757373783994859}",20,7,19.902689287412173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.3, 'e': 0.06741998624632421}",30,18,21.51275808308405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.3, 'e': 0.06726727939963124}",20,0,9.948446325423511,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
222,False,"{'a': 0.3, 'e': 0.06711560552140243}",30,4,-5.777626718868121,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
223,False,"{'a': 0.3, 'e': 0.06696495301824251}",20,3,28.479284157045754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.3, 'e': 0.0668153104781061}",30,19,18.009741753448377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.3, 'e': 0.06666666666666667}",25,0,40.07371746850904,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
226,False,"{'a': 0.3, 'e': 0.06651901052377393}",20,16,3.9577411612053592,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.3, 'e': 0.0663723311599972}",30,0,27.61593049098241,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
228,False,"{'a': 0.3, 'e': 0.06622661785325219}",20,0,5.21835847123321,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
229,False,"{'a': 0.3, 'e': 0.06608186004550898}",20,0,15.268374024717572,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
230,False,"{'a': 0.3, 'e': 0.0659380473395787}",20,6,22.08379911293851,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.3, 'e': 0.0657951694959769}",20,0,29.109028148095916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.3, 'e': 0.06565321642986127}",25,2,14.71439448491744,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.3, 'e': 0.06551217820804184}",25,3,28.876463137661336,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.3, 'e': 0.06537204504606134}",25,12,14.89940188035018,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.3, 'e': 0.06523280730534423}",20,0,26.042851636491232,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.3, 'e': 0.06509445549041194}",20,0,30.124489180839696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.3, 'e': 0.06495698024616309}",20,2,3.227954382418697,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.3, 'e': 0.06482037235521644}",20,6,20.79082878889995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.3, 'e': 0.06468462273531508}",30,12,28.684895071959044,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.3, 'e': 0.06454972243679027}",20,0,-28.006930146576718,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
241,False,"{'a': 0.3, 'e': 0.06441566264008308}",20,16,4.562917093526487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.3, 'e': 0.0642824346533225}",20,0,29.84847192608257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.3, 'e': 0.06415002990995841}",20,8,21.839810167785068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.3, 'e': 0.06401843996644799}",25,0,-4.550616630034147,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
245,False,"{'a': 0.3, 'e': 0.06388765649999399}",30,13,27.410138409360382,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.3, 'e': 0.06375767130633382}",25,3,-16.391629849240097,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
247,False,"{'a': 0.3, 'e': 0.06362847629757777}",20,8,16.503490756336703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.3, 'e': 0.06350006350009525}",25,14,22.81361165862961,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
