trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.3, 'e': 0.0659380473395787}",20,6,29.71743402971106,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.3, 'e': 0.0657951694959769}",20,6,0.2690658016669636,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
232,False,"{'a': 0.3, 'e': 0.06565321642986127}",25,20,9.219482145628108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.3, 'e': 0.06551217820804184}",25,12,13.366847446066064,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.3, 'e': 0.06537204504606134}",25,16,7.013289521859459,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.3, 'e': 0.06523280730534423}",35,0,21.64041942066366,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
236,False,"{'a': 0.3, 'e': 0.06509445549041194}",20,5,27.47198968046942,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.3, 'e': 0.06495698024616309}",20,12,17.48691409774994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.3, 'e': 0.06482037235521644}",25,1,41.51538718984583,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.3, 'e': 0.06468462273531508}",20,9,21.17837773124488,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.3, 'e': 0.06454972243679027}",20,0,7.9705707221683975,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
241,False,"{'a': 0.3, 'e': 0.06441566264008308}",25,11,11.727195835856744,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.3, 'e': 0.0642824346533225}",30,19,-23.159658221174684,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
243,False,"{'a': 0.3, 'e': 0.06415002990995841}",25,11,3.0071699642946137,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
244,False,"{'a': 0.3, 'e': 0.06401843996644799}",20,10,16.435477755569543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.3, 'e': 0.06388765649999399}",20,0,33.688708053503326,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,False,"{'a': 0.3, 'e': 0.06375767130633382}",25,6,7.729576607160688,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
247,False,"{'a': 0.3, 'e': 0.06362847629757777}",30,11,7.971914003102897,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
248,False,"{'a': 0.3, 'e': 0.06350006350009525}",35,21,-18.164189499153114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
